"CELL5M","SoilProfile","SharePct"
5095803,"WI_ACLR004","20"
5095803,"WI_CMIT043","25"
5095803,"WI_CMZR003","20"
5095803,"WI_FRKE002","25"
5095803,"WI_RGTZ054","10"
5095804,"WI_ACLR004","20"
5095804,"WI_CMIT043","25"
5095804,"WI_CMZR003","20"
5095804,"WI_FRKE002","25"
5095804,"WI_RGTZ054","10"
5095805,"WI_ACLR004","20"
5095805,"WI_CMIT043","25"
5095805,"WI_CMZR003","20"
5095805,"WI_FRKE002","25"
5095805,"WI_RGTZ054","10"
5095806,"WI_ACLR004","20"
5095806,"WI_CMIT043","25"
5095806,"WI_CMZR003","20"
5095806,"WI_FRKE002","25"
5095806,"WI_RGTZ054","10"
5100115,"WI_ACGA005","40"
5100115,"WI_FRZM012","10"
5100115,"WI_LVUY032","10"
5100115,"WI_LVZM015","10"
5100115,"WI_PLMZ004","30"
5100116,"WI_ACGA005","40"
5100116,"WI_FRZM012","10"
5100116,"WI_LVUY032","10"
5100116,"WI_LVZM015","10"
5100116,"WI_PLMZ004","30"
5100117,"WI_ACGA005","40"
5100117,"WI_FRZM012","10"
5100117,"WI_LVUY032","10"
5100117,"WI_LVZM015","10"
5100117,"WI_PLMZ004","30"
5100118,"WI_ACGA005","70"
5100118,"WI_PDRO011","30"
5100119,"WI_ACGA005","70"
5100119,"WI_PDRO011","30"
5100120,"WI_ACGA005","70"
5100120,"WI_PDRO011","30"
5100121,"WI_ACGA005","70"
5100121,"WI_PDRO011","30"
5100122,"WI_ACGA005","70"
5100122,"WI_PDRO011","30"
5100123,"WI_ACGA005","70"
5100123,"WI_PDRO011","30"
5100124,"WI_ACLR004","20"
5100124,"WI_CMIT043","25"
5100124,"WI_CMZR003","20"
5100124,"WI_FRKE002","25"
5100124,"WI_RGTZ054","10"
5100125,"WI_ACLR004","20"
5100125,"WI_CMIT043","25"
5100125,"WI_CMZR003","20"
5100125,"WI_FRKE002","25"
5100125,"WI_RGTZ054","10"
5104428,"WI_ACGA005","70"
5104428,"WI_PDRO011","30"
5104429,"WI_ACGA005","70"
5104429,"WI_PDRO011","30"
5104430,"WI_ACGA005","40"
5104430,"WI_FRZM012","10"
5104430,"WI_LVUY032","10"
5104430,"WI_LVZM015","10"
5104430,"WI_PLMZ004","30"
5104431,"WI_ACGA005","40"
5104431,"WI_FRZM012","10"
5104431,"WI_LVUY032","10"
5104431,"WI_LVZM015","10"
5104431,"WI_PLMZ004","30"
5104432,"WI_ACGA005","40"
5104432,"WI_FRZM012","10"
5104432,"WI_LVUY032","10"
5104432,"WI_LVZM015","10"
5104432,"WI_PLMZ004","30"
5104433,"WI_ACGA005","40"
5104433,"WI_FRZM012","10"
5104433,"WI_LVUY032","10"
5104433,"WI_LVZM015","10"
5104433,"WI_PLMZ004","30"
5104434,"WI_ACGA005","40"
5104434,"WI_FRZM012","10"
5104434,"WI_LVUY032","10"
5104434,"WI_LVZM015","10"
5104434,"WI_PLMZ004","30"
5104435,"WI_ACGA005","40"
5104435,"WI_FRZM012","10"
5104435,"WI_LVUY032","10"
5104435,"WI_LVZM015","10"
5104435,"WI_PLMZ004","30"
5104436,"HC_GEN0010","10"
5104436,"WI_CMTN008","25"
5104436,"WI_FLSO001","30"
5104436,"WI_FRAO009","25"
5104436,"WI_PHUY061","10"
5104437,"HC_GEN0010","10"
5104437,"WI_CMTN008","25"
5104437,"WI_FLSO001","30"
5104437,"WI_FRAO009","25"
5104437,"WI_PHUY061","10"
5104438,"WI_ACGA005","70"
5104438,"WI_PDRO011","30"
5104439,"WI_ACGA005","70"
5104439,"WI_PDRO011","30"
5104440,"WI_ACGA005","70"
5104440,"WI_PDRO011","30"
5104441,"WI_ACGA005","70"
5104441,"WI_PDRO011","30"
5104442,"WI_ACGA005","70"
5104442,"WI_PDRO011","30"
5104443,"WI_CMZR003","20"
5104443,"WI_GLBW752","20"
5104443,"WI_LVUY032","10"
5104443,"WI_LVZM015","10"
5104443,"WI_PLMZ004","30"
5104443,"WI_RGTZ054","10"
5104444,"WI_CMZR003","20"
5104444,"WI_GLBW752","20"
5104444,"WI_LVUY032","10"
5104444,"WI_LVZM015","10"
5104444,"WI_PLMZ004","30"
5104444,"WI_RGTZ054","10"
5104445,"WI_ACLR004","20"
5104445,"WI_CMIT043","25"
5104445,"WI_CMZR003","20"
5104445,"WI_FRKE002","25"
5104445,"WI_RGTZ054","10"
5108748,"WI_ACGA005","70"
5108748,"WI_PDRO011","30"
5108749,"WI_ACGA005","70"
5108749,"WI_PDRO011","30"
5108750,"WI_ACGA005","40"
5108750,"WI_FRZM012","10"
5108750,"WI_LVUY032","10"
5108750,"WI_LVZM015","10"
5108750,"WI_PLMZ004","30"
5108751,"WI_ACGA005","40"
5108751,"WI_FRZM012","10"
5108751,"WI_LVUY032","10"
5108751,"WI_LVZM015","10"
5108751,"WI_PLMZ004","30"
5108752,"WI_CMZR003","60"
5108752,"WI_PLMZ004","20"
5108752,"WI_RGTZ054","20"
5108753,"WI_ACGA005","40"
5108753,"WI_FRZM012","10"
5108753,"WI_LVUY032","10"
5108753,"WI_LVZM015","10"
5108753,"WI_PLMZ004","30"
5108754,"WI_ACGA005","40"
5108754,"WI_FRZM012","10"
5108754,"WI_LVUY032","10"
5108754,"WI_LVZM015","10"
5108754,"WI_PLMZ004","30"
5108755,"WI_ACGA005","40"
5108755,"WI_FRZM012","10"
5108755,"WI_LVUY032","10"
5108755,"WI_LVZM015","10"
5108755,"WI_PLMZ004","30"
5108758,"HC_GEN0010","10"
5108758,"WI_CMTN008","25"
5108758,"WI_FLSO001","30"
5108758,"WI_FRAO009","25"
5108758,"WI_PHUY061","10"
5108759,"HC_GEN0010","10"
5108759,"WI_CMTN008","25"
5108759,"WI_FLSO001","30"
5108759,"WI_FRAO009","25"
5108759,"WI_PHUY061","10"
5108760,"HC_GEN0010","10"
5108760,"WI_CMTN008","25"
5108760,"WI_FLSO001","30"
5108760,"WI_FRAO009","25"
5108760,"WI_PHUY061","10"
5108761,"HC_GEN0010","10"
5108761,"WI_CMTN008","25"
5108761,"WI_FLSO001","30"
5108761,"WI_FRAO009","25"
5108761,"WI_PHUY061","10"
5108762,"WI_CMZR003","20"
5108762,"WI_GLBW752","20"
5108762,"WI_LVUY032","10"
5108762,"WI_LVZM015","10"
5108762,"WI_PLMZ004","30"
5108762,"WI_RGTZ054","10"
5108763,"WI_CMZR003","20"
5108763,"WI_GLBW752","20"
5108763,"WI_LVUY032","10"
5108763,"WI_LVZM015","10"
5108763,"WI_PLMZ004","30"
5108763,"WI_RGTZ054","10"
5108764,"WI_CMZR003","20"
5108764,"WI_GLBW752","20"
5108764,"WI_LVUY032","10"
5108764,"WI_LVZM015","10"
5108764,"WI_PLMZ004","30"
5108764,"WI_RGTZ054","10"
5108765,"WI_CMZR003","20"
5108765,"WI_GLBW752","20"
5108765,"WI_LVUY032","10"
5108765,"WI_LVZM015","10"
5108765,"WI_PLMZ004","30"
5108765,"WI_RGTZ054","10"
5108766,"WI_ACLR004","20"
5108766,"WI_CMIT043","25"
5108766,"WI_CMZR003","20"
5108766,"WI_FRKE002","25"
5108766,"WI_RGTZ054","10"
5113070,"WI_ACGA005","40"
5113070,"WI_FRZM012","10"
5113070,"WI_LVUY032","10"
5113070,"WI_LVZM015","10"
5113070,"WI_PLMZ004","30"
5113071,"WI_CMZR003","60"
5113071,"WI_PLMZ004","20"
5113071,"WI_RGTZ054","20"
5113072,"WI_ACGA005","40"
5113072,"WI_FRZM012","10"
5113072,"WI_LVUY032","10"
5113072,"WI_LVZM015","10"
5113072,"WI_PLMZ004","30"
5113073,"WI_ACGA005","40"
5113073,"WI_FRZM012","10"
5113073,"WI_LVUY032","10"
5113073,"WI_LVZM015","10"
5113073,"WI_PLMZ004","30"
5113074,"WI_ACGA005","40"
5113074,"WI_FRZM012","10"
5113074,"WI_LVUY032","10"
5113074,"WI_LVZM015","10"
5113074,"WI_PLMZ004","30"
5113075,"HC_GEN0010","10"
5113075,"WI_CMTN008","25"
5113075,"WI_FLSO001","30"
5113075,"WI_FRAO009","25"
5113075,"WI_PHUY061","10"
5113078,"HC_GEN0010","10"
5113078,"WI_CMTN008","25"
5113078,"WI_FLSO001","30"
5113078,"WI_FRAO009","25"
5113078,"WI_PHUY061","10"
5113079,"HC_GEN0010","10"
5113079,"WI_CMTN008","25"
